1	а	а	PART	_	_	_	_	_	@vvp1934m-words#@vvp1934m#840.8#841.184
2	какой	какой	ADJ	_	Case=Ins|Gender=Fem|Number=Sing	_	_	_	@vvp1934m-words#@vvp1934m#841.184#841.568
3	вы	вы	PRON	_	Case=Nom|Number=Plur|Person=2	_	_	_	@vvp1934m-words#@vvp1934m#841.568#841.952
4	видите	видеть	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@vvp1934m-words#@vvp1934m#841.952#842.336
5	основную	основной	ADJ	_	Case=Acc|Degree=Pos|Gender=Fem|Number=Sing	_	_	_	@vvp1934m-words#@vvp1934m#842.336#842.72
6	проблему	проблема	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	_	_	_	@vvp1934m-words#@vvp1934m#842.72#843.104
7	нашего	наш	POS|PRON	_	Case=Gen|Gender=Neut|Number=Sing	_	_	_	@vvp1934m-words#@vvp1934m#843.104#843.488
8	кино	кино	NOUN	_	Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing	_	_	_	@vvp1934m-words#@vvp1934m#843.488#843.872
9	сегодня	сегодня	ADV	_	_	_	_	_	@vvp1934m-words#@vvp1934m#843.872#844.162
10	?	?	PUNCT	_	_	_	_	_	@vvp1934m-words#@vvp1934m#844.162#844.262
11	а	а	CCONJ	_	_	_	_	_	@vvp1934m-words#@vvp1934m#844.686#844.911
12	может	мочь	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@vvp1934m-words#@vvp1934m#844.911#845.136
13	не	не	PART	_	_	_	_	_	@vvp1934m-words#@vvp1934m#845.136#845.361
14	видите	видеть	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@vvp1934m-words#@vvp1934m#845.361#845.586
15	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@vvp1934m-words#@vvp1934m#845.586#845.811
16	не	не	PART	_	_	_	_	_	@vvp1934m-words#@vvp1934m#845.811#846.036
17	знаю	знать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@vvp1934m-words#@vvp1934m#846.036#846.266
18	серьезное	серьезный	ADJ	_	Case=Acc|Degree=Pos|Gender=Neut|Number=Sing	_	_	_	@vvp1934m-words#@vvp1934m#871.627#872.254
19	дело	дело	NOUN	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	_	_	_	@vvp1934m-words#@vvp1934m#872.254#872.882
20	а	а	CCONJ	_	_	_	_	_	@vvp1934m-words#@vvp1934m#872.882#873.119
21	как	как	SCONJ	_	_	_	_	_	@vvp1934m-words#@vvp1934m#873.119#873.356
22	по	по	ADP	_	_	_	_	_	@vvp1934m-words#@vvp1934m#873.356#873.593
23	Вашему	ваш	PRON	_	Case=Dat|Gender=Neut|Number=Plur	_	_	_	@vvp1934m-words#@vvp1934m#873.593#873.832
